City,Longitude,Latitude
嘉峪关市,98.288200,39.773250
酒泉市,98.494320,39.733416
兰州市,103.834228,36.060798
平凉市,106.664913,35.542417
金昌市,102.187972,38.521468
天水市,105.724828,34.581514
白银市,104.138872,36.545123
武威市,102.637821,37.928980
张掖市,100.449858,38.924766
定西市,104.592342,35.607947
甘南藏族自治州,102.911736,34.983266
陇南市,104.960296,33.370174
庆阳市,107.643433,35.709459
临夏回族自治州,103.210386,35.601792
