City,Longitude,Latitude
乌海市,106.794150,39.655048
巴彦淖尔市,107.387767,40.742987
包头市,109.953150,40.621327
呼伦贝尔市,119.778450,49.166536
兴安盟,122.037796,46.082373
通辽市,122.243309,43.653566
赤峰市,118.887613,42.256876
锡林郭勒盟,116.047387,43.933212
乌兰察布市,113.132227,40.994526
阿拉善盟,105.729135,38.851554
鄂尔多斯市,109.782473,39.608744
呼和浩特市,111.748814,40.842127
